Threads,Duration
1,11881752
2,6072173
3,3737401
4,3464231
5,4015560
6,4617041
7,3413048
8,4008475
9,3494760
10,3070921
11,3074121
12,3828124
13,3451707
14,3975392
15,3082642
16,2992168
17,2950186
18,3971628
19,3067180
20,3533352
